MOF,ASA_m^2/g,AV_Volume_fraction,AV_cm^3/g,POAV_Volume_fraction,POAV_cm^3/g,Channel Dimensionality,Working,TSN,Loged selec,vertice,edge,topo,di,df,dif
m478_fixedH_p2_4c_square_o66_3c_pto,0,0.58772,0.483298,0.4689,0.385589,1,3.181979867,7.399326309,2.325384389,square,3c,pto,7.66937,3.00585,7.66937
m415_fixedL_p2_4c_square_o90_4c_square_mot,0,0.42382,0.237988,0.26904,0.151074,1,1.179609171,2.742766915,2.325148857,square,square,mot,4.28962,3.02425,4.21892
m353_fixedL_n2_4c_square_o233_4c_square_cdz,534.728,0.59988,0.42972,0.50788,0.363817,3,3.015826741,7.0027824,2.322010845,square,square,cdz,4.95282,3.86932,4.95282
m329_fixedH_p3_6c_oct_o169_3c_pyr,1135.57,0.6405,0.366525,0.58004,0.331926,3,3.016859832,7.004562321,2.321805689,oct,3c,pyr,7.95181,4.96639,7.95181
m184_6c_oct_o307_n1_2c_bcs,0,0.49944,0.30422,0.28412,0.173064,2,1.655449124,3.842688426,2.321236195,oct,2c,bcs,6.7878,3.23634,5.99628
m329_fixedH_p3_6c_oct_o171_3c_pyr,796.366,0.58588,0.316124,0.4991,0.2693,3,2.536533145,5.887510631,2.321085629,oct,3c,pyr,7.6388,4.69821,7.54775
m312_fixedH_4c_square_o307_n1_2c_lvt,408.927,0.54912,0.466052,0.33738,0.286343,1,2.392282033,5.55264839,2.321067631,square,2c,lvt,6.54726,5.67422,6.54726
m176_4c_square_o46_4c_square_cdn,0,0.45312,0.370684,0.23482,0.192099,1,1.943326263,4.507602855,2.319529633,square,square,cdn,3.82567,3.21253,3.82567
m486_8c_o307_n1_2c_bcu,353.335,0.52228,0.326671,0.33634,0.210371,2,2.041260088,4.733986835,2.319149266,8c,2c,bcu,5.91042,4.35472,5.84467
m255_8c_o425_2c_bcu,0,0.55896,0.329431,0.38444,0.226575,1,1.102480495,2.556052361,2.318455857,8c,2c,bcu,4.34613,3.16964,4.27084
m344_6c_oct_o480_2c_pcu,883.925,0.58244,0.500701,0.4582,0.393897,2,3.579215414,8.295475348,2.317679823,oct,2c,pcu,5.3705,4.23323,5.3705
m40_6c_oct_o524_2c_pcu,688.819,0.57948,0.416029,0.47194,0.338822,3,1.643238462,3.807355115,2.316982716,oct,2c,pcu,5.7233,3.78213,5.7233
m511_6c_oct_o553_2c_pcu,791.474,0.54768,0.412953,0.42406,0.319743,2,2.929833713,6.784518064,2.315666597,oct,2c,pcu,5.37658,4.18627,5.27745
m168_4c_square_o88_4c_square_mot,545.111,0.44984,0.349347,0.31846,0.247317,1,1.992201702,4.61204635,2.315049899,square,square,mot,5.47844,4.2465,5.47844
m308_6c_oct_o224_4c_square_soc,384.927,0.55848,0.448858,0.31394,0.252318,1,3.817599837,8.836927873,2.314786319,oct,square,soc,7.26619,4.31086,6.12075
m160_fixedH_8c_o323_p1_2c_bcu,2501.24,0.70456,0.806991,0.64742,0.741544,3,6.926286869,16.02438761,2.313561063,8c,2c,bcu,8.18017,6.19681,8.18017
m274_6c_oct_o298_n1_2c_pcu,702.409,0.5225,0.387647,0.39448,0.292668,2,1.979208695,4.575296154,2.311679494,oct,2c,pcu,5.70804,4.11051,5.68314
m298_n2_8c_o295_2c_bcu,0,0.49536,0.331827,0.32694,0.219007,1,1.738893411,4.019753981,2.311673594,8c,2c,bcu,5.03127,3.06633,4.86197
m214_6c_oct_o480_2c_pcu,0,0.57772,0.421795,0.4232,0.308979,2,2.251378742,5.204042865,2.311491518,oct,2c,pcu,5.35795,3.56915,5.35795
m298_n2_8c_o202_4c_square_csq,432.901,0.4872,0.255018,0.2653,0.138868,1,1.75429605,4.054269827,2.311052247,8c,square,csq,6.75876,6.1692,6.70007
m433_fixedH_4c_square_o75_4c_square_cdz,0,0.4159,0.303122,0.18224,0.132823,1,1.180713782,2.726625673,2.309302826,square,square,cdz,4.03519,3.55218,4.03408
